"family.id" "actor.id" "partner.id" "group" "neg1" "neg2"
"1" 1 "C1" "C2" 1 2.72823937919519 2.17227142275216
"2" 1 "C1" "FA" 1 0.423362579912476 -0.489759857739957
"3" 1 "C1" "MO" 1 1.20489625591948 1.0090320623471
"4" 1 "C2" "C1" 1 2.94178100782067 1.35801342506937
"5" 1 "C2" "FA" 1 1.70815723916699 2.63443199564951
"6" 1 "C2" "MO" 1 1.48355093240055 3.08326034487174
"7" 1 "FA" "C1" 1 0.808894871436416 -0.631224331773673
"8" 1 "FA" "C2" 1 3.37417105000918 2.56706398492958
"9" 1 "FA" "MO" 1 1.94399212626172 3.73857854179573
"10" 1 "MO" "C1" 1 2.72978362012278 2.59424410218384
"11" 1 "MO" "C2" 1 2.79767515136846 1.58655711300178
"12" 1 "MO" "FA" 1 2.86968186676603 1.89199815923642
"13" 2 "C1" "C2" 1 3.08539467957707 3.41747635651543
"14" 2 "C1" "FA" 1 3.22819030047553 1.76918610809848
"15" 2 "C1" "MO" 1 2.32535578527817 1.47341422493787
"16" 2 "C2" "C1" 1 2.31941972173977 2.60490898898664
"17" 2 "C2" "FA" 1 2.19166812765997 3.41481460837002
"18" 2 "C2" "MO" 1 1.46512451767923 2.20596356084407
"19" 2 "FA" "C1" 1 0.875707530632511 2.01558903373403
"20" 2 "FA" "C2" 1 1.64968995839981 2.82192599577534
"21" 2 "FA" "MO" 1 1.06386407871975 0.643126911960986
"22" 2 "MO" "C1" 1 0.451283142827384 2.54395382969725
"23" 2 "MO" "C2" 1 1.17900541415534 1.5145821240224
"24" 2 "MO" "FA" 1 1.00015418801304 2.18217484868172
"25" 3 "C1" "C2" 1 1.42202319520954 1.66169414253768
"26" 3 "C1" "FA" 1 0.689042913719294 1.61104397061362
"27" 3 "C1" "MO" 1 1.03142661081863 1.36458976474168
"28" 3 "C2" "C1" 1 2.08329392065245 2.22101511880387
"29" 3 "C2" "FA" 1 2.25796003342297 0.756939093662396
"30" 3 "C2" "MO" 1 0.787796956468129 0.703464280512477
"31" 3 "FA" "C1" 1 3.04445576550768 2.3227809304109
"32" 3 "FA" "C2" 1 2.35434295113466 2.24715335906395
"33" 3 "FA" "MO" 1 0.446686334971739 1.62216663487265
"34" 3 "MO" "C1" 1 2.08934791089731 2.48096347297602
"35" 3 "MO" "C2" 1 0.906671165842036 2.09850516738354
"36" 3 "MO" "FA" 1 1.04324058259569 2.05403101503769
"37" 4 "C1" "C2" 1 0.643668371438135 0.992306958050571
"38" 4 "C1" "FA" 1 2.30025632292389 2.18745719364609
"39" 4 "C1" "MO" 1 2.21579653971928 2.62573307703067
"40" 4 "C2" "C1" 1 1.51420683715578 2.00839689686157
"41" 4 "C2" "FA" 1 0.0658618269092983 -0.258305080103002
