"family.id" "group" "variable" "neg" "actor.id" "partner.id"
"1" 1 1 "MF" 2.38084001300123 "M" "F"
"2" 2 1 "MF" 1.59116451834738 "M" "F"
"3" 3 1 "MF" 1.54863579881669 "M" "F"
"4" 4 1 "MF" 1.50899481912419 "M" "F"
"5" 5 1 "MF" 1.65006376328167 "M" "F"
"6" 6 1 "MF" 2.43212584970499 "M" "F"
"7" 7 1 "MF" 2.86102901069281 "M" "F"
"8" 8 1 "MF" 1.16844046840468 "M" "F"
"9" 9 1 "MF" 2.10929842717533 "M" "F"
"10" 10 1 "MF" 2.67193507264376 "M" "F"
"11" 11 1 "MF" 1.26076843496816 "M" "F"
"12" 12 1 "MF" 0.830865096461009 "M" "F"
"13" 13 1 "MF" 1.44991328488301 "M" "F"
"14" 14 1 "MF" 1.3536761047814 "M" "F"
"15" 15 1 "MF" 0.483976183520419 "M" "F"
"16" 16 1 "MF" 1.06029557996127 "M" "F"
"17" 17 1 "MF" 0.186802633932107 "M" "F"
"18" 18 1 "MF" 1.25561380252875 "M" "F"
"19" 19 1 "MF" 2.24162166354364 "M" "F"
"20" 20 1 "MF" 2.26048765870405 "M" "F"
"21" 21 1 "MF" 2.08931562185629 "M" "F"
"22" 22 1 "MF" 1.30334603917645 "M" "F"
"23" 23 1 "MF" 0.72021701741575 "M" "F"
"24" 24 1 "MF" 1.17657247288252 "M" "F"
"25" 25 1 "MF" 0.856995648324052 "M" "F"
"26" 26 1 "MF" 3.03405256565918 "M" "F"
"27" 27 1 "MF" 1.50260499760343 "M" "F"
"28" 28 1 "MF" 1.2836602759883 "M" "F"
"29" 29 1 "MF" 0.645885869372253 "M" "F"
"30" 30 1 "MF" 1.97266109131009 "M" "F"
"31" 31 1 "MF" 0.467990783061991 "M" "F"
"32" 32 1 "MF" 2.03848746995202 "M" "F"
"33" 33 1 "MF" 3.07728137752801 "M" "F"
"34" 34 1 "MF" 1.57883855133786 "M" "F"
"35" 35 1 "MF" 1.46581854580879 "M" "F"
"36" 36 1 "MF" 2.42376183157592 "M" "F"
"37" 37 1 "MF" 2.1894532312611 "M" "F"
"38" 38 1 "MF" 1.43836472289093 "M" "F"
"39" 39 1 "MF" 2.13323760430429 "M" "F"
"40" 40 1 "MF" 2.79262777839909 "M" "F"
"41" 41 1 "MF" 1.49616269503376 "M" "F"
"42" 42 1 "MF" 1.85904775165697 "M" "F"
"43" 43 1 "MF" 0.751106734787808 "M" "F"
"44" 44 1 "MF" -0.187965235681125 "M" "F"
"45" 45 1 "MF" 1.19051192804201 "M" "F"
"46" 46 1 "MF" 1.72126705993066 "M" "F"
"47" 47 1 "MF" 1.59447809726891 "M" "F"
"48" 48 1 "MF" 1.17755742505786 "M" "F"
"49" 49 1 "MF" 1.978405796164 "M" "F"
"50" 50 1 "MF" 1.92461901124607 "M" "F"
"51" 51 1 "MF" 1.24365218022013 "M" "F"
"52" 52 1 "MF" 2.59748238208088 "M" "F"
"53" 53 1 "MF" 1.50911289830741 "M" "F"
"54" 54 1 "MF" 1.56627591943113 "M" "F"
"55" 55 1 "MF" 2.30169749707466 "M" "F"
"56" 56 1 "MF" 1.16667946566633 "M" "F"
"57" 57 1 "MF" 3.18765438106858 "M" "F"
"58" 58 1 "MF" 2.43458672779022 "M" "F"
"59" 59 1 "MF" 1.08520635747916 "M" "F"
"60" 60 1 "MF" 3.14488731101279 "M" "F"
"61" 61 1 "MF" 0.31494437789132 "M" "F"
"62" 62 1 "MF" 1.20519523460844 "M" "F"
"63" 63 1 "MF" 2.29429610107543 "M" "F"
"64" 64 1 "MF" 2.86752632827262 "M" "F"
"65" 65 1 "MF" 1.56275822204007 "M" "F"
"66" 66 1 "MF" 1.45745332498855 "M" "F"
"67" 67 1 "MF" 2.01441505886052 "M" "F"
